ZIP,BLDGNO1,STREET1,STSUFX1,BLDGNO2,STREET2 STSUFX2,,CITY,COUNTY STATUS1,STATUS2,STATUS3,BLOCK,LOT
10002,295,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,418,42
10002,299,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,418,40
10002,303 TO 305,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,418,37
10002,325,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,423,18
10002,334,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,424,40
10002,25,CANAL,ST,1,ESSEX,ST,NEW YORK,62 MULTIPLE DWELLING B,,,297,30
10002,27 TO 29,CANAL,ST,,,,NEW YORK,62 MULTIPLE DWELLING B,,,297,30
10002,33,CANAL,ST,,,,NEW YORK,62 MULTIPLE DWELLING B,,,297,35
10002,34,CANAL,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,283,76
10002,37,CANAL,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,GARDEN COMPLEX,,297,37
10002,52,CANAL,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,294,22
10002,78,CANAL,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,293,12
ZIP,BLDGNO1,STREET1,STSUFX1,BLDGNO2,STREET2,STSUFX2,CITY,COUNTY STATUS1,STATUS2,STATUS3,BLOCK,LOT
10002,201 TO 229,CHERRY,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,248,7501
10002,265,CHERRY,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,247,1
10002,275,CHERRY,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,247,1
10002,73 TO 75,CHRYSTIE,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,304,35
10002,79,CHRYSTIE,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,304,33
10002,81 TO 83,CHRYSTIE,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,304,31
10002,85,CHRYSTIE,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,304,30
10002,87,CHRYSTIE,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,304,29
10002,95,CHRYSTIE,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,304,25
10002,101,CHRYSTIE,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,304,21
10002,111,CHRYSTIE,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,423,25
10002,121,CHRYSTIE,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,423,20
10002,123 1/2,CHRYSTIE,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,423,19
10002,135,CHRYSTIE,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,424,29
10002,137,CHRYSTIE,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,424,29
10002,139,CHRYSTIE,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,GARDEN COMPLEX,,424,28
10002,155,CHRYSTIE,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,425,37
10002,157,CHRYSTIE,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,425,36
10002,159,CHRYSTIE,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,425,35
10002,163,CHRYSTIE,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,425,33
10002,167 TO 171,CHRYSTIE,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (16),,425,30
10002,177,CHRYSTIE,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,425,26
10002,187,CHRYSTIE,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,426,34
10002,229 TO 235,CHRYSTIE,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (1-15),,427,7504
10002,1 TO 7,CLINTON,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,350,20
10002,6,CLINTON,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,350,50
10002,13 TO 15,CLINTON,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,GARDEN COMPLEX,ARTICLES 14 & 15,350,23
10002,16,CLINTON,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,350,46
10002,18 TO 24,CLINTON,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,NON-EVICT COOP/CONDO,,350,7501
10002,19,CLINTON,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,350,26
10002,27 TO 29,CLINTON,ST,168,STANTON,ST,NEW YORK,62 MULTIPLE DWELLING A,,,350,30
10002,28 TO 30,CLINTON,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,GARDEN COMPLEX,ARTICLES 14 & 15,350,39
10002,37 TO 39,CLINTON,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,349,19
10002,42,CLINTON,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,344,146
10002,43,CLINTON,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,349,20
10002,45,CLINTON,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,GARDEN COMPLEX,ARTICLES 14 & 15,349,21
10002,47,CLINTON,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,349,22
10002,49,CLINTON,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,349,23
10002,55,CLINTON,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,349,24
10002,61,CLINTON,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,349,26
10002,63,CLINTON,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,349,27
10002,71,CLINTON,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,349,30
10002,78,CLINTON,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,GARDEN COMPLEX,,348,48
